intertidal_sitename,site_code,survey_rep,year,month,day,section,transect,location,zone_code,final_classification,count
Bodega,14,1,2001,7,7,1,0,1.9,1,littorina keenae,11
Bodega,14,1,2001,7,7,1,0,1.9,1,littorina plena; littorina scutulata,3
Bodega,14,1,2001,7,7,1,0,8,4,nucella canaliculata,11
Bodega,14,1,2001,7,7,1,0,8,4,tegula funebralis,3
Bodega,14,1,2001,7,8,1,0,17.8,8,leptasterias spp,10
Bodega,14,1,2001,7,8,1,0,17.8,8,nucella emarginata; nucella ostrina,1
Bodega,14,1,2001,7,7,1,3,1.8,1,littorina plena; littorina scutulata,24
Bodega,14,1,2001,7,7,1,3,6.4,4,littorina plena; littorina scutulata,544
Bodega,14,1,2001,7,7,1,3,6.4,4,tegula funebralis,1
Bodega,14,1,2001,7,7,1,3,20.7,8,leptasterias spp,3
Bodega,14,1,2001,7,7,1,3,20.7,8,nucella canaliculata,1
Bodega,14,1,2001,7,7,1,3,20.7,8,pisaster ochraceus,1
Bodega,14,1,2001,7,7,1,6,0.8,1,littorina plena; littorina scutulata,9
Bodega,14,1,2001,7,7,1,6,8.6,4,littorina plena; littorina scutulata,4
Bodega,14,1,2001,7,7,1,6,23.5,8,leptasterias spp,10
Bodega,14,1,2001,7,7,1,6,23.5,8,nucella canaliculata,1
Bodega,14,1,2001,7,7,1,6,23.5,8,pisaster ochraceus,4
Bodega,14,1,2001,7,7,1,6,23.5,8,pugettia producta,3
Bodega,14,1,2001,7,7,1,9,1.5,1,littorina plena; littorina scutulata,5
Bodega,14,1,2001,7,7,1,9,8,4,littorina plena; littorina scutulata,676
Bodega,14,1,2001,7,7,1,9,8,4,nucella canaliculata,1
Bodega,14,1,2001,7,7,1,9,8,4,pachygrapsus crassipes,2
Bodega,14,1,2001,7,7,1,9,23.7,8,cancer antennarius,7
Bodega,14,1,2001,7,7,1,9,23.7,8,leptasterias spp,1
Bodega,14,1,2001,7,7,1,9,23.7,8,pisaster ochraceus,1
Bodega,14,1,2001,7,7,1,12,2.2,1,littorina plena; littorina scutulata,72
Bodega,14,1,2001,7,7,1,12,10.1,4,littorina plena; littorina scutulata,232
Bodega,14,1,2001,7,7,1,12,10.1,4,nucella emarginata; nucella ostrina,6
Bodega,14,1,2001,7,7,1,12,10.1,4,tegula funebralis,13
Bodega,14,1,2001,7,8,1,12,24.4,8,leptasterias spp,32
Bodega,14,1,2001,7,8,1,12,24.4,8,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,12,24.4,8,pugettia producta,1
Bodega,14,1,2001,7,7,1,14,2.6,1,littorina plena; littorina scutulata,168
Bodega,14,1,2001,7,7,1,14,8.4,4,littorina plena; littorina scutulata,152
Bodega,14,1,2001,7,7,1,14,8.4,4,nucella emarginata; nucella ostrina,3
Bodega,14,1,2001,7,7,1,14,8.4,4,tegula funebralis,8
Bodega,14,1,2001,7,7,1,14,24.7,8,leptasterias spp,6
Bodega,14,1,2001,7,7,1,14,24.7,8,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,1.7,1,littorina plena; littorina scutulata,688
Bodega,14,1,2001,7,8,2,18,7.1,4,littorina plena; littorina scutulata,448
Bodega,14,1,2001,7,8,2,18,7.1,4,nucella emarginata; nucella ostrina,7
Bodega,14,1,2001,7,8,2,18,7.1,4,pachycheles spp,1
Bodega,14,1,2001,7,8,2,18,7.1,4,tegula funebralis,21
Bodega,14,1,2001,7,8,2,18,33.1,8,leptasterias spp,21
Bodega,14,1,2001,7,8,2,18,33.1,8,littorina plena; littorina scutulata,176
Bodega,14,1,2001,7,8,2,18,33.1,8,nucella canaliculata,5
Bodega,14,1,2001,7,8,2,18,33.1,8,pagurus hirsutiusculus,1
Bodega,14,1,2001,7,8,2,18,33.1,8,pisaster ochraceus,1
