intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species_lump,total_count,number_of_transects,est_swath_area_searched_m2,density_per_m2
Cannonball Island,48.17108594,-124.7362027,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,1,1,2002,Pisaster ochraceus,193,11,1370.4,0.140834793
Cannonball Island,48.17108594,-124.7362027,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,1,2,2006,Pisaster ochraceus,120,11,1332,0.09009009
Sokol Point; Chilean Memorial,47.94711596,-124.6625075,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,2,1,2002,Pisaster ochraceus,1073,11,1016.8,1.05527144
Sokol Point; Chilean Memorial,47.94711596,-124.6625075,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,2,2,2007,Pisaster ochraceus,423,11,986.4,0.428832117
Sokol Point; Chilean Memorial,47.94711596,-124.6625075,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,2,3,2018,Pisaster ochraceus,70,3,250,0.28
Taylor Point,47.86648435,-124.5679428,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,3,1,2002,Pisaster ochraceus,1421,11,536.5,2.648648649
Taylor Point,47.86648435,-124.5679428,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,3,2,2003,Pisaster ochraceus,1224,11,555.5,2.203420342
Taylor Point,47.86648435,-124.5679428,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,3,3,2004,Pisaster ochraceus,985,11,562,1.752669039
Starfish Point,47.65339011,-124.3922261,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,4,1,2002,Pisaster ochraceus,3969,11,785.5,5.052832591
Starfish Point,47.65339011,-124.3922261,WA Olympic Coast,WA Olympic Coast to San Francisco,Washington,Mainland,,,Olympic Coast NMS,,4,2,2006,Pisaster ochraceus,3007,11,790.5,3.803921569
