"site","sensor_number","recovery_date","date_time","date","time","temp_durafet_c","p_h","tide","temp_hobo_c","tide_height"
"Alegria",4,"7/12/21",2021-06-18 01:15:00,"06/18/2021","01:15:00",16.12788985,7.798480991,"high",16.7944444444444,2.931996
"Alegria",4,"7/12/21",2021-06-18 01:30:00,"06/18/2021","01:30:00",16.11488695,7.797861386,"high",16.7611111111111,3.030151
"Alegria",4,"7/12/21",2021-06-18 01:45:00,"06/18/2021","01:45:00",16.10723666,7.799667608,"high",16.7611111111111,3.129757
"Alegria",4,"7/12/21",2021-06-18 02:00:00,"06/18/2021","02:00:00",16.0830924,7.804366412,"high",16.7388888888889,3.228431
"Alegria",4,"7/12/21",2021-06-18 02:15:00,"06/18/2021","02:15:00",16.10388895,7.805194247,"high",16.75,3.324108
"Alegria",4,"7/12/21",2021-06-18 02:30:00,"06/18/2021","02:30:00",16.08794502,7.805734206,"high",16.7277777777778,3.414633
"Alegria",4,"7/12/21",2021-06-18 02:45:00,"06/18/2021","02:45:00",16.08235792,7.805449593,"high",16.7277777777778,3.497909
"Alegria",4,"7/12/21",2021-06-18 03:00:00,"06/18/2021","03:00:00",16.02890425,7.812471593,"high",16.6444444444444,3.572013
"Alegria",4,"7/12/21",2021-06-18 03:15:00,"06/18/2021","03:15:00",15.98351693,7.818883864,"high",16.5888888888889,3.634906
"Alegria",4,"7/12/21",2021-06-18 03:30:00,"06/18/2021","03:30:00",15.94703378,7.819916202,"high",16.5444444444444,3.68497
"Alegria",4,"7/12/21",2021-06-18 03:45:00,"06/18/2021","03:45:00",15.91947871,7.823685233,"high",16.5333333333333,3.720693
"Alegria",4,"7/12/21",2021-06-18 04:00:00,"06/18/2021","04:00:00",15.88392882,7.823653788,"high",16.5111111111111,3.740801
"Alegria",4,"7/12/21",2021-06-18 04:15:00,"06/18/2021","04:15:00",15.8518019,7.826211109,"high",16.4722222222222,3.744185
"Alegria",4,"7/12/21",2021-06-18 04:30:00,"06/18/2021","04:30:00",15.80474852,7.828396445,"high",16.4166666666667,3.72982
"Alegria",4,"7/12/21",2021-06-18 04:45:00,"06/18/2021","04:45:00",15.76792488,7.838107684,"high",16.3611111111111,3.697058
"Alegria",4,"7/12/21",2021-06-18 05:00:00,"06/18/2021","05:00:00",15.71925694,7.857693117,"high",16.3222222222222,3.64577
"Alegria",4,"7/12/21",2021-06-18 05:15:00,"06/18/2021","05:15:00",15.6841021,7.866291509,"high",16.3,3.575959
"Alegria",4,"7/12/21",2021-06-18 05:30:00,"06/18/2021","05:30:00",15.67033469,7.868630838,"high",16.2888888888889,3.488208
"Alegria",4,"7/12/21",2021-06-18 05:45:00,"06/18/2021","05:45:00",15.64572375,7.870171672,"high",16.2777777777778,3.383067
"Alegria",4,"7/12/21",2021-06-18 06:00:00,"06/18/2021","06:00:00",15.62197198,7.876020733,"high",16.2444444444444,3.261812
"Alegria",4,"7/12/21",2021-06-18 06:15:00,"06/18/2021","06:15:00",15.58745707,7.879287621,"high",16.2111111111111,3.12551
"Alegria",4,"7/12/21",2021-06-18 06:30:00,"06/18/2021","06:30:00",15.56059729,7.886980864,"high",16.1833333333333,2.976067
"Alegria",4,"7/12/21",2021-06-18 06:45:00,"06/18/2021","06:45:00",15.53801412,7.893759662,"high",16.1611111111111,2.815003
"Alegria",4,"7/12/21",2021-06-18 07:00:00,"06/18/2021","07:00:00",15.52119937,7.894889622,"high",16.1388888888889,2.644744
"Alegria",4,"7/12/21",2021-06-18 07:15:00,"06/18/2021","07:15:00",15.4799725,7.901299204,"high",16.0944444444444,2.467371
