Device Name:,,QuadVoltV2,QuadVoltV2,QuadVoltV2,QuadVoltV2
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R34071,R34071,R34071,R34071
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
10/8/21,8:23:52 PM,30.19788,35.53242,-35.42618,-10.79282
10/8/21,8:24:02 PM,30.3599,35.53466,-35.42456,-10.80754
10/8/21,8:24:12 PM,30.55776,35.53522,-35.42512,-10.82204
10/8/21,8:24:22 PM,89.43338,35.59952,-35.3617,-11.10936
10/8/21,8:24:32 PM,95.15042,35.58338,-35.37818,-12.1835
10/8/21,8:24:42 PM,95.54612,35.60902,-35.35296,-12.53312
10/8/21,8:24:52 PM,96.31882,35.60066,-35.36024,-12.35738
10/8/21,8:25:02 PM,95.05068,35.6062,-35.3564,-12.85224
10/8/21,8:25:12 PM,94.76782,35.60302,-35.3596,-13.53984
10/8/21,8:25:22 PM,94.9183,35.60272,-35.36262,-13.67178
10/8/21,8:25:32 PM,94.98492,35.60256,-35.36174,-13.66658
10/8/21,8:25:42 PM,95.15442,35.60404,-35.36062,-13.6278
10/8/21,8:25:52 PM,95.25254,35.60304,-35.36238,-13.58776
10/8/21,8:26:02 PM,95.35502,35.60404,-35.36302,-13.70946
10/8/21,8:26:12 PM,95.39618,35.6047,-35.36322,-13.7255
10/8/21,8:26:22 PM,95.47264,35.6053,-35.36288,-13.70844
10/8/21,8:26:32 PM,95.54154,35.60578,-35.3639,-13.68092
10/8/21,8:26:42 PM,95.68608,35.60666,-35.36416,-13.6503
10/8/21,8:26:52 PM,95.83336,35.60802,-35.3643,-13.62174
10/8/21,8:27:02 PM,95.96652,35.6085,-35.36438,-13.59378
10/8/21,8:27:12 PM,96.07928,35.60784,-35.36466,-13.57004
10/8/21,8:27:22 PM,96.16066,35.60956,-35.36454,-13.54624
10/8/21,8:27:32 PM,96.28552,35.61004,-35.3646,-13.52572
10/8/21,8:27:42 PM,96.3701,35.61024,-35.3653,-13.50572
10/8/21,8:27:52 PM,96.45702,35.61102,-35.366,-13.4912
10/8/21,8:28:02 PM,96.56044,35.61052,-35.36596,-13.47564
10/8/21,8:28:12 PM,96.6103,35.61142,-35.36624,-13.46186
10/8/21,8:28:22 PM,96.68226,35.61246,-35.3658,-13.45078
10/8/21,8:28:32 PM,96.74368,35.6135,-35.36588,-13.44078
10/8/21,8:28:42 PM,96.82614,35.6138,-35.3663,-13.43272
10/8/21,8:28:52 PM,96.88248,35.61446,-35.36688,-13.4254
10/8/21,8:29:02 PM,96.93084,35.61484,-35.36624,-13.4187
10/8/21,8:29:12 PM,97.00984,35.6159,-35.36716,-13.41434
10/8/21,8:29:22 PM,97.04932,35.6144,-35.36762,-13.41194
10/8/21,8:29:32 PM,97.15694,35.61538,-35.36792,-13.40752
10/8/21,8:29:42 PM,97.20286,35.61574,-35.36854,-13.4069
10/8/21,8:29:52 PM,97.28346,35.61632,-35.36878,-13.4057
10/8/21,8:30:02 PM,97.34314,35.61822,-35.36844,-13.406
10/8/21,8:30:12 PM,97.41118,35.61802,-35.36872,-13.40706
10/8/21,8:30:22 PM,97.47342,35.61818,-35.36918,-13.4089
10/8/21,8:30:32 PM,97.50818,35.6187,-35.36912,-13.4121
10/8/21,8:30:42 PM,97.58082,35.61874,-35.36938,-13.41514
10/8/21,8:30:52 PM,97.59474,35.62036,-35.37018,-13.41988
10/8/21,8:31:02 PM,97.65042,35.61952,-35.36978,-13.42422
10/8/21,8:31:12 PM,97.72174,35.6206,-35.36958,-13.42974
