Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64783,R64783,R64783,R64783
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
sensor removed at 5pm,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
9/18/21,2:30:00 AM,25.51578,35.3811,-35.41864,-8.93736
9/18/21,2:45:00 AM,38.6832,35.49232,-35.40188,-6.53924
9/18/21,3:00:00 AM,39.2227,35.47882,-35.3852,-6.0808
9/18/21,3:15:00 AM,38.5449,35.47576,-35.38162,-5.93396
9/18/21,3:30:00 AM,37.27664,35.47338,-35.38102,-5.83024
9/18/21,3:45:00 AM,37.28456,35.47164,-35.37968,-5.68194
9/18/21,4:00:00 AM,37.6763,35.47056,-35.37746,-5.5892
9/18/21,4:15:00 AM,38.81304,35.4704,-35.3742,-5.52468
9/18/21,4:30:00 AM,41.00296,35.47316,-35.37272,-5.5209
9/18/21,4:45:00 AM,42.3124,35.474,-35.37124,-5.52738
9/18/21,5:00:00 AM,42.24748,35.47378,-35.37092,-5.5147
9/18/21,5:15:00 AM,42.452,35.4732,-35.3702,-5.47754
9/18/21,5:30:00 AM,42.6358,35.47282,-35.36858,-5.4069
9/18/21,5:45:00 AM,42.97736,35.47212,-35.3683,-5.3338
9/18/21,6:00:00 AM,43.24224,35.47144,-35.3667,-5.2658
9/18/21,6:15:00 AM,43.78482,35.47162,-35.36528,-5.237
9/18/21,6:30:00 AM,43.738,35.47052,-35.36424,-5.21394
9/18/21,6:45:00 AM,43.68304,35.46982,-35.36424,-5.18814
9/18/21,7:00:00 AM,43.15744,35.46876,-35.3641,-5.1585
9/18/21,7:15:00 AM,43.52046,35.46862,-35.36324,-5.10826
9/18/21,7:30:00 AM,43.0632,35.46798,-35.36306,-5.06218
9/18/21,7:45:00 AM,43.03118,35.46672,-35.36168,-5.0495
9/18/21,8:00:00 AM,42.78712,35.46634,-35.36144,-5.05156
9/18/21,8:15:00 AM,43.36452,35.46674,-35.36048,-5.00812
9/18/21,8:30:00 AM,42.88796,35.46558,-35.36104,-5.01882
9/18/21,8:45:00 AM,43.07882,35.46576,-35.35984,-4.96284
9/18/21,9:00:00 AM,43.23948,35.46528,-35.3598,-4.96488
9/18/21,9:15:00 AM,44.49398,35.46638,-35.35768,-4.95228
9/18/21,9:30:00 AM,44.03356,35.46508,-35.35666,-4.94758
9/18/21,9:45:00 AM,44.67384,35.46592,-35.35654,-4.9238
9/18/21,10:00:00 AM,45.33322,35.46622,-35.35524,-4.92342
9/18/21,10:15:00 AM,45.73876,35.46566,-35.35474,-4.95444
9/18/21,10:30:00 AM,45.44914,35.4656,-35.3541,-4.94088
9/18/21,10:45:00 AM,46.59094,35.4666,-35.35352,-5.00162
9/18/21,11:00:00 AM,47.50046,35.46706,-35.3527,-5.07544
9/18/21,11:15:00 AM,47.60526,35.46776,-35.35214,-5.1362
9/18/21,11:30:00 AM,47.84068,35.46778,-35.35144,-5.21824
9/18/21,11:45:00 AM,48.62486,35.46932,-35.35214,-5.33916
9/18/21,12:00:00 PM,49.72422,35.47174,-35.3506,-5.54678
9/18/21,12:15:00 PM,50.19274,35.47196,-35.35166,-5.64702
9/18/21,12:30:00 PM,50.86278,35.47314,-35.35248,-5.9169
9/18/21,12:45:00 PM,51.52066,35.47554,-35.35276,-6.0773
9/18/21,1:00:00 PM,52.4589,35.47668,-35.35204,-6.37754
9/18/21,1:15:00 PM,52.62108,35.47912,-35.35452,-6.56286
9/18/21,1:30:00 PM,54.16516,35.4826,-35.35438,-6.93382
9/18/21,1:45:00 PM,54.27082,35.48386,-35.35686,-7.14722
9/18/21,2:00:00 PM,54.13722,35.48602,-35.35874,-7.33176
9/18/21,2:15:00 PM,55.00902,35.48792,-35.35872,-7.54732
9/18/21,2:30:00 PM,55.88094,35.49088,-35.35932,-7.79458
9/18/21,2:45:00 PM,55.92646,35.49214,-35.36106,-7.97504
9/18/21,3:00:00 PM,56.30398,35.49382,-35.36292,-8.13458
9/18/21,3:15:00 PM,56.1431,35.49504,-35.36456,-8.3108
9/18/21,3:30:00 PM,55.45324,35.49548,-35.36534,-8.31038
9/18/21,3:45:00 PM,54.26754,35.4945,-35.36786,-8.28332
9/18/21,4:00:00 PM,53.305,35.49364,-35.36998,-8.31544
9/18/21,4:15:00 PM,53.91944,35.49386,-35.36888,-8.44742
9/18/21,4:30:00 PM,52.41822,35.49316,-35.371,-8.45338
9/18/21,4:45:00 PM,51.74334,35.49324,-35.37182,-8.51226
9/18/21,5:00:00 PM,51.1529,35.49272,-35.37288,-8.6189
9/18/21,5:15:00 PM,50.06168,35.49276,-35.37448,-8.7678
9/18/21,5:30:00 PM,49.08374,35.49236,-35.377,-8.91826
9/18/21,5:45:00 PM,48.21144,35.49224,-35.37728,-9.01314
9/18/21,6:00:00 PM,47.86924,35.49256,-35.37996,-9.01882
9/18/21,6:15:00 PM,47.4982,35.49286,-35.38066,-9.00446
9/18/21,6:30:00 PM,47.1876,35.49284,-35.3806,-8.94852
9/18/21,6:45:00 PM,46.94018,35.49228,-35.38038,-8.86304
9/18/21,7:00:00 PM,46.5438,35.49152,-35.38072,-8.78474
9/18/21,7:15:00 PM,46.24094,35.4905,-35.38,-8.70706
9/18/21,7:30:00 PM,45.93584,35.48926,-35.37982,-8.63534
9/18/21,7:45:00 PM,45.6626,35.48858,-35.37928,-8.57818
9/18/21,8:00:00 PM,45.49188,35.48824,-35.37896,-8.52224
9/18/21,8:15:00 PM,45.16276,35.4877,-35.379,-8.44584
9/18/21,8:30:00 PM,45.22368,35.48664,-35.37802,-8.36272
9/18/21,8:45:00 PM,45.41544,35.48706,-35.3774,-8.2718
9/18/21,9:00:00 PM,45.2084,35.48704,-35.37758,-8.1926
9/18/21,9:15:00 PM,45.1541,35.48544,-35.37622,-8.06654
9/18/21,9:30:00 PM,45.19552,35.4847,-35.37424,-7.93772
9/18/21,9:45:00 PM,44.68034,35.48384,-35.3744,-7.88492
9/18/21,10:00:00 PM,45.48584,35.48324,-35.37236,-7.67584
9/18/21,10:15:00 PM,45.19416,35.4821,-35.37204,-7.58044
9/18/21,10:30:00 PM,45.15288,35.48164,-35.37098,-7.48184
9/18/21,10:45:00 PM,45.13982,35.4804,-35.37006,-7.39138
9/18/21,11:00:00 PM,44.61436,35.47964,-35.37002,-7.37736
9/18/21,11:15:00 PM,45.17066,35.47928,-35.36792,-7.18944
9/18/21,11:30:00 PM,45.37454,35.4796,-35.36686,-6.98918
9/18/21,11:45:00 PM,45.70456,35.47804,-35.36484,-6.70428
9/19/21,12:00:00 AM,45.32272,35.47618,-35.36352,-6.60278
9/19/21,12:15:00 AM,45.50004,35.47478,-35.36196,-6.40988
9/19/21,12:30:00 AM,45.36914,35.47396,-35.35994,-6.29806
9/19/21,12:45:00 AM,45.10918,35.47198,-35.35906,-6.17054
9/19/21,1:00:00 AM,44.73496,35.47104,-35.35908,-6.0862
9/19/21,1:15:00 AM,43.9334,35.46882,-35.35842,-6.00728
9/19/21,1:30:00 AM,43.37932,35.46844,-35.35824,-5.9037
9/19/21,1:45:00 AM,43.10934,35.46612,-35.35732,-5.78788
9/19/21,2:00:00 AM,42.81316,35.4655,-35.357,-5.66246
9/19/21,2:15:00 AM,42.24574,35.46408,-35.35618,-5.49226
9/19/21,2:30:00 AM,41.61768,35.46208,-35.35572,-5.33172
9/19/21,2:45:00 AM,40.9665,35.45996,-35.35518,-5.20486
9/19/21,3:00:00 AM,40.09562,35.4577,-35.35306,-5.07924
9/19/21,3:15:00 AM,39.27774,35.45592,-35.35348,-4.99642
9/19/21,3:30:00 AM,37.76278,35.45368,-35.35394,-4.89894
9/19/21,3:45:00 AM,36.66868,35.45184,-35.3552,-4.79748
9/19/21,4:00:00 AM,35.95566,35.45072,-35.35472,-4.6812
9/19/21,4:15:00 AM,35.10146,35.44908,-35.35474,-4.5658
9/19/21,4:30:00 AM,34.98508,35.44804,-35.35384,-4.45748
9/19/21,4:45:00 AM,36.03002,35.4477,-35.35132,-4.37176
9/19/21,5:00:00 AM,37.8558,35.4487,-35.3482,-4.2697
