Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64784,R64784,R64784,R64784
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
5/31/21,9:30:00 AM,59.41016,35.58262,-35.40586,-4.58402
5/31/21,9:40:00 AM,60.6276,35.57444,-35.39744,-4.13268
5/31/21,9:50:00 AM,61.35798,35.57188,-35.39234,-3.80658
5/31/21,10:00:00 AM,61.7868,35.5716,-35.39046,-3.61872
5/31/21,10:10:00 AM,62.06432,35.57474,-35.39122,-3.57124
5/31/21,10:20:00 AM,62.15828,35.58168,-35.39532,-3.67476
5/31/21,10:30:00 AM,62.1413,35.58772,-35.40134,-3.94624
5/31/21,10:40:00 AM,62.1082,35.59708,-35.40746,-4.32724
5/31/21,10:50:00 AM,62.10438,35.6055,-35.41432,-4.86196
5/31/21,11:00:00 AM,62.13428,35.61294,-35.42264,-5.52008
5/31/21,11:10:00 AM,62.24414,35.62062,-35.42978,-6.1967
5/31/21,11:20:00 AM,62.43718,35.62972,-35.4385,-6.74798
5/31/21,11:30:00 AM,62.59262,35.63984,-35.44812,-7.2747
5/31/21,11:40:00 AM,62.82028,35.64822,-35.45518,-7.63122
5/31/21,11:50:00 AM,63.77368,35.66032,-35.4602,-5.83458
5/31/21,12:00:00 PM,62.82836,35.6594,-35.4626,-3.22298
5/31/21,12:10:00 PM,60.74716,35.6405,-35.44954,-1.05118
5/31/21,12:20:00 PM,61.9994,35.60796,-35.42178,0.7901
5/31/21,12:30:00 PM,62.51268,35.574,-35.39324,1.90018
5/31/21,12:40:00 PM,62.58986,35.54656,-35.36688,2.96328
5/31/21,12:50:00 PM,63.0948,35.526,-35.3469,3.95898
5/31/21,1:00:00 PM,62.75126,35.51096,-35.33174,4.2554
5/31/21,1:10:00 PM,63.79616,35.50108,-35.31844,4.60586
5/31/21,1:20:00 PM,63.42708,35.49408,-35.3113,4.68116
5/31/21,1:30:00 PM,64.1495,35.49188,-35.30632,4.44306
5/31/21,1:40:00 PM,64.86382,35.49238,-35.30372,4.06802
5/31/21,1:50:00 PM,64.02606,35.4936,-35.30532,4.0592
5/31/21,2:00:00 PM,63.72444,35.49368,-35.30682,4.04642
