Site,Sensor number,Download date,Calibration date,Temp_(C),Voltage#1,TK,S(T),Eo(T),pH,Date time
LOL,1,7/13/2021,6/4 and 7/13,13.19763499,0.02326096,286.347635,0.056816849,-0.410088845,7.627135469,6/14/21 08:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.73015011,0.02281404,285.8801501,0.056724091,-0.409621361,7.623487504,6/14/21 08:15:00
LOL,1,7/13/2021,6/4 and 7/13,12.50853108,0.02321344,285.6585311,0.056680118,-0.409399742,7.63253851,6/14/21 08:30:00
LOL,1,7/13/2021,6/4 and 7/13,12.48339638,0.02335656,285.6333964,0.056675131,-0.409374607,7.635291928,6/14/21 08:45:00
LOL,1,7/13/2021,6/4 and 7/13,12.63690816,0.0239136,285.7869082,0.05670559,-0.409528119,7.643721137,6/14/21 09:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.92731115,0.0245037,286.0773112,0.056763212,-0.409818522,7.651473698,6/14/21 09:15:00
LOL,1,7/13/2021,6/4 and 7/13,13.32827931,0.02562142,286.4782793,0.056842771,-0.41021949,7.667481692,6/14/21 09:30:00
LOL,1,7/13/2021,6/4 and 7/13,13.72130051,0.02594874,286.8713005,0.056920754,-0.410612511,7.669632201,6/14/21 09:45:00
LOL,1,7/13/2021,6/4 and 7/13,14.08786809,0.02669924,287.2378681,0.056993488,-0.410979079,7.679444276,6/14/21 10:00:00
LOL,1,7/13/2021,6/4 and 7/13,14.47485682,0.02718206,287.6248568,0.057070274,-0.411366067,7.684352876,6/14/21 10:15:00
LOL,1,7/13/2021,6/4 and 7/13,14.77505804,0.02661378,287.925058,0.05712984,-0.411666269,7.671648441,6/14/21 10:30:00
LOL,1,7/13/2021,6/4 and 7/13,15.06760508,0.02841696,288.2176051,0.057187887,-0.411958816,7.700507898,6/14/21 10:45:00
LOL,1,7/13/2021,6/4 and 7/13,15.31856338,0.0295776,288.4685634,0.057237682,-0.412209774,7.718470751,6/14/21 11:00:00
LOL,1,7/13/2021,6/4 and 7/13,15.56405957,0.03036872,288.7140596,0.057286393,-0.41245527,7.730002995,6/14/21 11:15:00
LOL,1,7/13/2021,6/4 and 7/13,15.8787064,0.03265168,289.0287064,0.057348825,-0.412769917,7.766882699,6/14/21 11:30:00
LOL,1,7/13/2021,6/4 and 7/13,16.31671527,0.03396524,289.4667153,0.057435734,-0.413207926,7.78562633,6/14/21 11:45:00
LOL,1,7/13/2021,6/4 and 7/13,16.48597762,0.02929776,289.6359776,0.057469319,-0.413377188,7.702804798,6/14/21 12:00:00
LOL,1,7/13/2021,6/4 and 7/13,16.78561724,0.03302996,289.9356172,0.057528773,-0.413676828,7.764928064,6/14/21 12:15:00
LOL,1,7/13/2021,6/4 and 7/13,15.69683129,0.03643356,288.8468313,0.057312738,-0.412588042,7.834586537,6/14/21 12:30:00
LOL,1,7/13/2021,6/4 and 7/13,14.12847725,0.03753538,287.2784773,0.057001546,-0.411019688,7.869173709,6/14/21 12:45:00
LOL,1,7/13/2021,6/4 and 7/13,13.09308986,0.03935514,286.2430899,0.056796105,-0.4099843,7.911448102,6/14/21 13:00:00
LOL,1,7/13/2021,6/4 and 7/13,12.40093963,0.03935588,285.5509396,0.05665877,-0.40929215,7.918421695,6/14/21 13:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.84470752,0.03885242,284.9947075,0.056548402,-0.408735918,7.915136741,6/14/21 13:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.50391996,0.03865002,284.65392,0.056480784,-0.40839513,7.914995529,6/14/21 13:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.29617373,0.03830544,284.4461737,0.056439563,-0.408187384,7.910990119,6/14/21 14:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.23186777,0.03853504,284.3818678,0.056426803,-0.408123078,7.915708348,6/14/21 14:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.20706906,0.03882676,284.3570691,0.056421883,-0.40809828,7.921129487,6/14/21 14:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.1343802,0.03861314,284.2843802,0.05640746,-0.408025591,7.918079119,6/14/21 14:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.17405264,0.03917812,284.3240526,0.056415332,-0.408065263,7.927692164,6/14/21 15:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.22383886,0.04013134,284.3738389,0.05642521,-0.408115049,7.944080091,6/14/21 15:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.31440364,0.041007,284.4644036,0.05644318,-0.408205614,7.958669477,6/14/21 15:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.3546679,0.04171278,284.5046679,0.056451169,-0.408245878,7.970758879,6/14/21 15:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.37741365,0.04217736,284.5274137,0.056455682,-0.408268624,7.978753684,6/14/21 16:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.39720332,0.04211628,284.5472033,0.056459609,-0.408288414,7.977467453,6/14/21 16:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.4110564,0.04225646,284.5610564,0.056462358,-0.408302267,7.979807159,6/14/21 16:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.47943103,0.04269806,284.629431,0.056475925,-0.408370642,7.98692017,6/14/21 16:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.48446525,0.0426034,284.6344653,0.056476924,-0.408375676,7.985191963,6/14/21 17:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.49762224,0.04251778,284.6476222,0.056479534,-0.408388833,7.983539876,6/14/21 17:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.53166078,0.04251198,284.6816608,0.056486288,-0.408422871,7.983085226,6/14/21 17:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.53163514,0.04236832,284.6816351,0.056486283,-0.408422846,7.980542219,6/14/21 17:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.57364613,0.04270418,284.7236461,0.056494619,-0.408464857,7.986053309,6/14/21 18:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.57747225,0.0426522,284.7274723,0.056495378,-0.408468683,7.985093643,6/14/21 18:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.55610116,0.04223178,284.7061012,0.056491137,-0.408447312,7.977872495,6/14/21 18:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.54803293,0.04195196,284.6980329,0.056489537,-0.408439243,7.973002274,6/14/21 18:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.53968541,0.04197312,284.6896854,0.05648788,-0.408430896,7.973462873,6/14/21 19:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.52623996,0.04176294,284.67624,0.056485212,-0.40841745,7.969880456,6/14/21 19:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.50737853,0.04169922,284.6573785,0.05648147,-0.408398589,7.968946443,6/14/21 19:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.46551424,0.04157052,284.6155142,0.056473163,-0.408356725,7.967098329,6/14/21 19:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.42608583,0.04100466,284.5760858,0.05646534,-0.408317296,7.957482537,6/14/21 20:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.37936172,0.04086212,284.5293617,0.056456069,-0.408270572,7.955436864,6/14/21 20:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.32440484,0.0407577,284.4744048,0.056445164,-0.408215615,7.954150184,6/14/21 20:30:00
LOL,1,7/13/2021,6/4 and 7/13,11.28076615,0.04067966,284.4307662,0.056436506,-0.408171977,7.953214519,6/14/21 20:45:00
LOL,1,7/13/2021,6/4 and 7/13,11.2173887,0.04020126,284.3673887,0.05642393,-0.408108599,7.945385157,6/14/21 21:00:00
LOL,1,7/13/2021,6/4 and 7/13,11.1327699,0.03968298,284.2827699,0.05640714,-0.40802398,7.937061815,6/14/21 21:15:00
LOL,1,7/13/2021,6/4 and 7/13,11.02844834,0.03893286,284.1784483,0.056386441,-0.407919659,7.924822185,6/14/21 21:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.93701928,0.03852098,284.0870193,0.0563683,-0.40782823,7.91844373,6/14/21 21:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.8437253,0.03795372,283.9937253,0.056349788,-0.407734936,7.909322609,6/14/21 22:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.72561897,0.03733966,283.875619,0.056326354,-0.407616829,7.899614634,6/14/21 22:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.65837908,0.03709974,283.8083791,0.056313012,-0.40754959,7.896031701,6/14/21 22:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.61459646,0.03688056,283.7645965,0.056304325,-0.407505807,7.892579615,6/14/21 22:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.54211827,0.03569494,283.6921183,0.056289944,-0.407433329,7.872245707,6/14/21 23:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.48730562,0.03574474,283.6373056,0.056279068,-0.407378516,7.873677944,6/14/21 23:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.43644308,0.03545336,283.5864431,0.056268976,-0.407327654,7.869007864,6/14/21 23:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.4492374,0.03630218,283.5992374,0.056271514,-0.407340448,7.883964593,6/14/21 23:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.40980685,0.0356985,283.5598068,0.056263691,-0.407301017,7.873630607,6/15/21 00:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.38257583,0.03459838,283.5325758,0.056258288,-0.407273786,7.854347962,6/15/21 00:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.4126219,0.03553308,283.5626219,0.056264249,-0.407303832,7.870662419,6/15/21 00:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.46512172,0.03608182,283.6151217,0.056274666,-0.407356332,7.879889509,6/15/21 00:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.49512522,0.03607214,283.6451252,0.05628062,-0.407386336,7.879417097,6/15/21 01:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.5100655,0.03604988,283.6600655,0.056283584,-0.407401276,7.87887204,6/15/21 01:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.5086012,0.03622638,283.6586012,0.056283293,-0.407399812,7.882022618,6/15/21 01:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.47220927,0.03649002,283.6222093,0.056276073,-0.40736342,7.887072064,6/15/21 01:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.47769157,0.03608756,283.6276916,0.05627716,-0.407368902,7.879865638,6/15/21 02:00:00
LOL,1,7/13/2021,6/4 and 7/13,10.4641908,0.03641302,283.6141908,0.056274482,-0.407355401,7.885784269,6/15/21 02:15:00
LOL,1,7/13/2021,6/4 and 7/13,10.45367147,0.03600354,283.6036715,0.056272394,-0.407344882,7.878613083,6/15/21 02:30:00
LOL,1,7/13/2021,6/4 and 7/13,10.4427631,0.0361499,283.5927631,0.05627023,-0.407333974,7.881323296,6/15/21 02:45:00
LOL,1,7/13/2021,6/4 and 7/13,10.44666447,0.03621426,283.5966645,0.056271004,-0.407337875,7.882427957,6/15/21 03:00:00
