Location,Sensor,Recovery Date,Date_Time,Date,Time,Temperature,pH,
bml,3,10/11/21,2021-08-22T06:30:00Z,8/22/21,6:30:00,13.04919369,8.205842923,
bml,3,10/11/21,2021-08-22T06:45:00Z,8/22/21,6:45:00,13.39012217,7.784005404,
bml,3,10/11/21,2021-08-22T07:00:00Z,8/22/21,7:00:00,13.47508298,7.778225735,
bml,3,10/11/21,2021-08-22T07:15:00Z,8/22/21,7:15:00,13.52887927,7.896997958,
bml,3,10/11/21,2021-08-22T07:30:00Z,8/22/21,7:30:00,13.57301308,7.971410699,
bml,3,10/11/21,2021-08-22T07:45:00Z,8/22/21,7:45:00,13.61081412,7.99305107,
bml,3,10/11/21,2021-08-22T08:00:00Z,8/22/21,8:00:00,13.62077196,8.010431579,
bml,3,10/11/21,2021-08-22T08:15:00Z,8/22/21,8:15:00,13.63504145,8.013357389,
bml,3,10/11/21,2021-08-22T08:30:00Z,8/22/21,8:30:00,13.63164834,8.010002589,
bml,3,10/11/21,2021-08-22T08:45:00Z,8/22/21,8:45:00,13.61945248,7.999742362,
bml,3,10/11/21,2021-08-22T09:00:00Z,8/22/21,9:00:00,13.64323091,8.007092383,
bml,3,10/11/21,2021-08-22T09:15:00Z,8/22/21,9:15:00,13.66058069,8.018277054,
bml,3,10/11/21,2021-08-22T09:30:00Z,8/22/21,9:30:00,13.67633641,8.020850661,
bml,3,10/11/21,2021-08-22T09:45:00Z,8/22/21,9:45:00,13.69997851,8.023873613,
bml,3,10/11/21,2021-08-22T10:00:00Z,8/22/21,10:00:00,13.71605939,8.025195451,
bml,3,10/11/21,2021-08-22T10:15:00Z,8/22/21,10:15:00,13.73151151,8.034143835,
bml,3,10/11/21,2021-08-22T10:30:00Z,8/22/21,10:30:00,13.74713736,8.041353847,
bml,3,10/11/21,2021-08-22T10:45:00Z,8/22/21,10:45:00,13.75783574,8.048358633,
bml,3,10/11/21,2021-08-22T11:00:00Z,8/22/21,11:00:00,13.76936228,8.052562006,
bml,3,10/11/21,2021-08-22T11:15:00Z,8/22/21,11:15:00,13.7827007,8.054713423,
bml,3,10/11/21,2021-08-22T11:30:00Z,8/22/21,11:30:00,13.80077199,8.060269955,
bml,3,10/11/21,2021-08-22T11:45:00Z,8/22/21,11:45:00,13.81351248,8.066640003,
bml,3,10/11/21,2021-08-22T12:00:00Z,8/22/21,12:00:00,13.82399452,8.064775002,
bml,3,10/11/21,2021-08-22T12:15:00Z,8/22/21,12:15:00,13.84721991,8.068559306,
bml,3,10/11/21,2021-08-22T12:30:00Z,8/22/21,12:30:00,13.82936663,8.067786751,
