"date_time","min","wvht","minute_else","station"
2021-05-01 00:30:00,26,2,30,"Bodega Bay"
2021-05-01 01:00:00,56,2.02,60,"Bodega Bay"
2021-05-01 01:30:00,26,2,30,"Bodega Bay"
2021-05-01 02:00:00,56,2.11,60,"Bodega Bay"
2021-05-01 02:30:00,26,2.23,30,"Bodega Bay"
2021-05-01 03:00:00,56,2.11,60,"Bodega Bay"
2021-05-01 03:30:00,26,2.31,30,"Bodega Bay"
2021-05-01 04:00:00,56,2.27,60,"Bodega Bay"
2021-05-01 04:30:00,26,2.31,30,"Bodega Bay"
2021-05-01 05:00:00,56,2.32,60,"Bodega Bay"
2021-05-01 05:30:00,26,2.16,30,"Bodega Bay"
2021-05-01 06:00:00,56,2.1,60,"Bodega Bay"
2021-05-01 06:30:00,26,2.23,30,"Bodega Bay"
2021-05-01 07:00:00,56,2.13,60,"Bodega Bay"
2021-05-01 07:30:00,26,2.1,30,"Bodega Bay"
2021-05-01 08:00:00,56,2.32,60,"Bodega Bay"
2021-05-01 08:30:00,26,2.17,30,"Bodega Bay"
2021-05-01 09:00:00,56,2.1,60,"Bodega Bay"
2021-05-01 09:30:00,26,2,30,"Bodega Bay"
2021-05-01 10:00:00,56,2.07,60,"Bodega Bay"
2021-05-01 10:30:00,26,2.1,30,"Bodega Bay"
2021-05-01 11:00:00,56,2.11,60,"Bodega Bay"
2021-05-01 11:30:00,26,2.18,30,"Bodega Bay"
2021-05-01 12:00:00,56,2.24,60,"Bodega Bay"
2021-05-01 12:30:00,26,2.15,30,"Bodega Bay"
2021-05-01 13:00:00,56,2.23,60,"Bodega Bay"
2021-05-01 13:30:00,26,2.18,30,"Bodega Bay"
2021-05-01 14:00:00,56,2.2,60,"Bodega Bay"
2021-05-01 14:30:00,26,2.24,30,"Bodega Bay"
2021-05-01 15:00:00,56,2.31,60,"Bodega Bay"
2021-05-01 15:30:00,26,2.26,30,"Bodega Bay"
2021-05-01 16:00:00,56,2.28,60,"Bodega Bay"
2021-05-01 16:30:00,26,2.36,30,"Bodega Bay"
2021-05-01 17:00:00,56,2.3,60,"Bodega Bay"
2021-05-01 17:30:00,26,2.24,30,"Bodega Bay"
2021-05-01 18:00:00,56,2.17,60,"Bodega Bay"
2021-05-01 18:30:00,26,2.41,30,"Bodega Bay"
2021-05-01 19:00:00,56,2.33,60,"Bodega Bay"
2021-05-01 19:30:00,26,2.25,30,"Bodega Bay"
2021-05-01 20:00:00,56,2.35,60,"Bodega Bay"
2021-05-01 20:30:00,26,2.45,30,"Bodega Bay"
2021-05-01 21:00:00,56,2.3,60,"Bodega Bay"
2021-05-01 21:30:00,26,2.55,30,"Bodega Bay"
2021-05-01 22:00:00,56,2.74,60,"Bodega Bay"
2021-05-01 22:30:00,26,2.83,30,"Bodega Bay"
2021-05-01 23:00:00,56,3.05,60,"Bodega Bay"
2021-05-01 23:30:00,26,3.27,30,"Bodega Bay"
2021-05-02 00:00:00,56,3.26,60,"Bodega Bay"
2021-05-02 00:30:00,26,3.52,30,"Bodega Bay"
2021-05-02 01:00:00,56,3.89,60,"Bodega Bay"
2021-05-02 01:30:00,26,4.04,30,"Bodega Bay"
2021-05-02 02:00:00,56,3.85,60,"Bodega Bay"
2021-05-02 02:30:00,26,4.14,30,"Bodega Bay"
2021-05-02 03:00:00,56,4.05,60,"Bodega Bay"
2021-05-02 03:30:00,26,4.27,30,"Bodega Bay"
2021-05-02 04:00:00,56,4.1,60,"Bodega Bay"
2021-05-02 04:30:00,26,4.09,30,"Bodega Bay"
2021-05-02 05:00:00,56,4.09,60,"Bodega Bay"
2021-05-02 05:30:00,26,3.93,30,"Bodega Bay"
2021-05-02 06:00:00,56,4.24,60,"Bodega Bay"
2021-05-02 06:30:00,26,4.15,30,"Bodega Bay"
2021-05-02 07:00:00,56,4.42,60,"Bodega Bay"
2021-05-02 07:30:00,26,4.51,30,"Bodega Bay"
2021-05-02 08:00:00,56,4.12,60,"Bodega Bay"
2021-05-02 08:30:00,26,4.11,30,"Bodega Bay"
2021-05-02 09:00:00,56,4.27,60,"Bodega Bay"
2021-05-02 09:30:00,26,4.18,30,"Bodega Bay"
2021-05-02 10:00:00,56,4.61,60,"Bodega Bay"
2021-05-02 10:30:00,26,3.98,30,"Bodega Bay"
2021-05-02 11:00:00,56,4.18,60,"Bodega Bay"
2021-05-02 11:30:00,26,4.28,30,"Bodega Bay"
2021-05-02 12:00:00,56,4.07,60,"Bodega Bay"
2021-05-02 12:30:00,26,3.9,30,"Bodega Bay"
2021-05-02 13:00:00,56,4.16,60,"Bodega Bay"
2021-05-02 13:30:00,26,4.29,30,"Bodega Bay"
2021-05-02 14:00:00,56,4.17,60,"Bodega Bay"
2021-05-02 14:30:00,26,4.06,30,"Bodega Bay"
2021-05-02 15:00:00,56,3.98,60,"Bodega Bay"
2021-05-02 15:30:00,26,4.31,30,"Bodega Bay"
2021-05-02 16:00:00,56,3.83,60,"Bodega Bay"
2021-05-02 16:30:00,26,4.44,30,"Bodega Bay"
2021-05-02 17:00:00,56,3.84,60,"Bodega Bay"
2021-05-02 17:30:00,26,3.93,30,"Bodega Bay"
2021-05-02 18:00:00,56,3.72,60,"Bodega Bay"
2021-05-02 18:30:00,26,3.36,30,"Bodega Bay"
2021-05-02 19:00:00,56,3.83,60,"Bodega Bay"
2021-05-02 19:30:00,26,3.68,30,"Bodega Bay"
2021-05-02 20:00:00,56,3.41,60,"Bodega Bay"
2021-05-02 20:30:00,26,3.73,30,"Bodega Bay"
2021-05-02 21:00:00,56,3.67,60,"Bodega Bay"
2021-05-02 21:30:00,26,3.7,30,"Bodega Bay"
2021-05-02 22:00:00,56,3.62,60,"Bodega Bay"
2021-05-02 22:30:00,26,3.81,30,"Bodega Bay"
2021-05-02 23:00:00,56,3.73,60,"Bodega Bay"
2021-05-02 23:30:00,26,3.75,30,"Bodega Bay"
2021-05-03 00:00:00,56,3.85,60,"Bodega Bay"
2021-05-03 00:30:00,26,3.83,30,"Bodega Bay"
2021-05-03 01:00:00,56,3.71,60,"Bodega Bay"
2021-05-03 01:30:00,26,3.76,30,"Bodega Bay"
2021-05-03 02:00:00,56,3.85,60,"Bodega Bay"
2021-05-03 02:30:00,26,3.99,30,"Bodega Bay"
2021-05-03 03:00:00,56,3.81,60,"Bodega Bay"
2021-05-03 03:30:00,26,4.21,30,"Bodega Bay"
2021-05-03 04:00:00,56,3.64,60,"Bodega Bay"
2021-05-03 04:30:00,26,3.64,30,"Bodega Bay"
2021-05-03 05:00:00,56,3.75,60,"Bodega Bay"
2021-05-03 05:30:00,26,3.73,30,"Bodega Bay"
2021-05-03 06:00:00,56,4.02,60,"Bodega Bay"
2021-05-03 06:30:00,26,3.79,30,"Bodega Bay"
2021-05-03 07:00:00,56,4.13,60,"Bodega Bay"
2021-05-03 07:30:00,26,4.11,30,"Bodega Bay"
2021-05-03 08:00:00,56,4.01,60,"Bodega Bay"
2021-05-03 08:30:00,26,3.79,30,"Bodega Bay"
2021-05-03 09:00:00,56,4.12,60,"Bodega Bay"
2021-05-03 09:30:00,26,4.48,30,"Bodega Bay"
2021-05-03 10:00:00,56,4.5,60,"Bodega Bay"
2021-05-03 10:30:00,26,3.96,30,"Bodega Bay"
2021-05-03 11:00:00,56,3.86,60,"Bodega Bay"
2021-05-03 11:30:00,26,4.01,30,"Bodega Bay"
2021-05-03 12:30:00,26,4.29,30,"Bodega Bay"
2021-05-03 13:00:00,56,3.97,60,"Bodega Bay"
2021-05-03 13:30:00,26,3.78,30,"Bodega Bay"
2021-05-03 14:00:00,56,3.7,60,"Bodega Bay"
2021-05-03 14:30:00,26,3.97,30,"Bodega Bay"
2021-05-03 15:00:00,56,4.04,60,"Bodega Bay"
2021-05-03 15:30:00,26,3.73,30,"Bodega Bay"
2021-05-03 16:00:00,56,3.81,60,"Bodega Bay"
2021-05-03 16:30:00,26,3.61,30,"Bodega Bay"
2021-05-03 17:00:00,56,3.54,60,"Bodega Bay"
2021-05-03 17:30:00,26,3.7,30,"Bodega Bay"
2021-05-03 18:00:00,56,3.85,60,"Bodega Bay"
2021-05-03 18:30:00,26,3.66,30,"Bodega Bay"
2021-05-03 19:00:00,56,4.1,60,"Bodega Bay"
2021-05-03 19:30:00,26,3.76,30,"Bodega Bay"
2021-05-03 20:00:00,56,4.14,60,"Bodega Bay"
2021-05-03 20:30:00,26,4.03,30,"Bodega Bay"
2021-05-03 21:00:00,56,3.92,60,"Bodega Bay"
2021-05-03 21:30:00,26,3.91,30,"Bodega Bay"
2021-05-03 22:00:00,56,4.09,60,"Bodega Bay"
2021-05-03 22:30:00,26,3.98,30,"Bodega Bay"
2021-05-03 23:00:00,56,4.03,60,"Bodega Bay"
2021-05-03 23:30:00,26,4.05,30,"Bodega Bay"
2021-05-04 00:00:00,56,4.3,60,"Bodega Bay"
2021-05-04 00:30:00,26,4.17,30,"Bodega Bay"
2021-05-04 01:00:00,56,4.3,60,"Bodega Bay"
2021-05-04 01:30:00,26,4.11,30,"Bodega Bay"
2021-05-04 02:00:00,56,4.31,60,"Bodega Bay"
2021-05-04 02:30:00,26,3.84,30,"Bodega Bay"
2021-05-04 03:00:00,56,4.47,60,"Bodega Bay"
2021-05-04 03:30:00,26,4.04,30,"Bodega Bay"
2021-05-04 04:00:00,56,4.28,60,"Bodega Bay"
2021-05-04 04:30:00,26,4.36,30,"Bodega Bay"
2021-05-04 05:00:00,56,4.15,60,"Bodega Bay"
2021-05-04 05:30:00,26,3.99,30,"Bodega Bay"
2021-05-04 06:00:00,56,3.92,60,"Bodega Bay"
2021-05-04 06:30:00,26,3.94,30,"Bodega Bay"
2021-05-04 07:00:00,56,4.03,60,"Bodega Bay"
2021-05-04 07:30:00,26,4.68,30,"Bodega Bay"
2021-05-04 08:00:00,56,4.01,60,"Bodega Bay"
2021-05-04 08:30:00,26,3.83,30,"Bodega Bay"
2021-05-04 09:00:00,56,4.01,60,"Bodega Bay"
2021-05-04 09:30:00,26,4,30,"Bodega Bay"
2021-05-04 10:00:00,56,3.78,60,"Bodega Bay"
2021-05-04 10:30:00,26,3.7,30,"Bodega Bay"
2021-05-04 11:00:00,56,3.68,60,"Bodega Bay"
2021-05-04 11:30:00,26,3.83,30,"Bodega Bay"
2021-05-04 12:00:00,56,4.01,60,"Bodega Bay"
2021-05-04 12:30:00,26,3.7,30,"Bodega Bay"
2021-05-04 13:00:00,56,3.72,60,"Bodega Bay"
2021-05-04 13:30:00,26,3.46,30,"Bodega Bay"
2021-05-04 14:00:00,56,3.55,60,"Bodega Bay"
2021-05-04 14:30:00,26,3.69,30,"Bodega Bay"
2021-05-04 15:00:00,56,3.61,60,"Bodega Bay"
2021-05-04 15:30:00,26,3.54,30,"Bodega Bay"
2021-05-04 16:00:00,56,3.7,60,"Bodega Bay"
2021-05-04 16:30:00,26,3.5,30,"Bodega Bay"
2021-05-04 17:00:00,56,3.71,60,"Bodega Bay"
2021-05-04 17:30:00,26,3.39,30,"Bodega Bay"
2021-05-04 18:00:00,56,3.44,60,"Bodega Bay"
2021-05-04 18:30:00,26,3.2,30,"Bodega Bay"
2021-05-04 19:00:00,56,3.25,60,"Bodega Bay"
2021-05-04 19:30:00,26,3.35,30,"Bodega Bay"
2021-05-04 20:00:00,56,3.28,60,"Bodega Bay"
2021-05-04 20:30:00,26,3.23,30,"Bodega Bay"
2021-05-04 21:00:00,56,3.35,60,"Bodega Bay"
2021-05-04 21:30:00,26,3.25,30,"Bodega Bay"
2021-05-04 22:00:00,56,3.28,60,"Bodega Bay"
2021-05-04 22:30:00,26,3.26,30,"Bodega Bay"
2021-05-04 23:00:00,56,3.31,60,"Bodega Bay"
2021-05-04 23:30:00,26,3.63,30,"Bodega Bay"
2021-05-05 00:00:00,56,3.47,60,"Bodega Bay"
2021-05-05 00:30:00,26,3.35,30,"Bodega Bay"
2021-05-05 01:00:00,56,3.36,60,"Bodega Bay"
2021-05-05 01:30:00,26,3.48,30,"Bodega Bay"
2021-05-05 02:00:00,56,3.15,60,"Bodega Bay"
2021-05-05 02:30:00,26,3.22,30,"Bodega Bay"
2021-05-05 03:00:00,56,3.22,60,"Bodega Bay"
2021-05-05 03:30:00,26,3.27,30,"Bodega Bay"
2021-05-05 04:00:00,56,2.85,60,"Bodega Bay"
2021-05-05 04:30:00,26,2.84,30,"Bodega Bay"
2021-05-05 05:00:00,56,2.94,60,"Bodega Bay"
2021-05-05 05:30:00,26,2.71,30,"Bodega Bay"
2021-05-05 06:00:00,56,2.95,60,"Bodega Bay"
2021-05-05 06:30:00,26,3.2,30,"Bodega Bay"
2021-05-05 07:00:00,56,3.2,60,"Bodega Bay"
2021-05-05 07:30:00,26,3.07,30,"Bodega Bay"
2021-05-05 08:00:00,56,3.28,60,"Bodega Bay"
2021-05-05 08:30:00,26,3.15,30,"Bodega Bay"
2021-05-05 09:00:00,56,3.16,60,"Bodega Bay"
2021-05-05 09:30:00,26,3.17,30,"Bodega Bay"
2021-05-05 10:00:00,56,3.13,60,"Bodega Bay"
2021-05-05 10:30:00,26,3.2,30,"Bodega Bay"
2021-05-05 11:00:00,56,3.08,60,"Bodega Bay"
2021-05-05 11:30:00,26,3.47,30,"Bodega Bay"
2021-05-05 12:00:00,56,3.44,60,"Bodega Bay"
2021-05-05 12:30:00,26,3.53,30,"Bodega Bay"
2021-05-05 13:00:00,56,3.39,60,"Bodega Bay"
2021-05-05 13:30:00,26,3.22,30,"Bodega Bay"
2021-05-05 14:00:00,56,2.75,60,"Bodega Bay"
2021-05-05 14:30:00,26,2.55,30,"Bodega Bay"
2021-05-05 15:00:00,56,2.61,60,"Bodega Bay"
2021-05-05 15:30:00,26,2.55,30,"Bodega Bay"
2021-05-05 16:00:00,56,2.5,60,"Bodega Bay"
2021-05-05 16:30:00,26,2.51,30,"Bodega Bay"
2021-05-05 17:00:00,56,2.46,60,"Bodega Bay"
2021-05-05 17:30:00,26,2.24,30,"Bodega Bay"
2021-05-05 18:00:00,56,2.05,60,"Bodega Bay"
2021-05-05 18:30:00,26,2.13,30,"Bodega Bay"
2021-05-05 19:00:00,56,1.93,60,"Bodega Bay"
2021-05-05 19:30:00,26,1.99,30,"Bodega Bay"
2021-05-05 20:00:00,56,1.93,60,"Bodega Bay"
2021-05-05 20:30:00,26,2.13,30,"Bodega Bay"
2021-05-05 21:00:00,56,1.89,60,"Bodega Bay"
2021-05-05 21:30:00,26,2.02,30,"Bodega Bay"
2021-05-05 22:00:00,56,1.87,60,"Bodega Bay"
2021-05-05 22:30:00,26,1.95,30,"Bodega Bay"
2021-05-05 23:00:00,56,1.81,60,"Bodega Bay"
2021-05-05 23:30:00,26,1.98,30,"Bodega Bay"
2021-05-06 00:00:00,56,1.84,60,"Bodega Bay"
2021-05-06 00:30:00,26,1.84,30,"Bodega Bay"
2021-05-06 01:00:00,56,1.81,60,"Bodega Bay"
2021-05-06 01:30:00,26,1.84,30,"Bodega Bay"
2021-05-06 02:00:00,56,1.83,60,"Bodega Bay"
2021-05-06 02:30:00,26,1.81,30,"Bodega Bay"
2021-05-06 03:00:00,56,1.98,60,"Bodega Bay"
2021-05-06 03:30:00,26,1.87,30,"Bodega Bay"
2021-05-06 04:00:00,56,1.92,60,"Bodega Bay"
2021-05-06 04:30:00,26,1.94,30,"Bodega Bay"
2021-05-06 05:00:00,56,1.94,60,"Bodega Bay"
2021-05-06 05:30:00,26,1.99,30,"Bodega Bay"
2021-05-06 06:00:00,56,1.89,60,"Bodega Bay"
2021-05-06 06:30:00,26,1.94,30,"Bodega Bay"
2021-05-06 07:00:00,56,1.86,60,"Bodega Bay"
2021-05-06 07:30:00,26,1.88,30,"Bodega Bay"
2021-05-06 08:00:00,56,1.86,60,"Bodega Bay"
2021-05-06 08:30:00,26,1.71,30,"Bodega Bay"
2021-05-06 09:00:00,56,1.78,60,"Bodega Bay"
2021-05-06 09:30:00,26,1.88,30,"Bodega Bay"
2021-05-06 10:00:00,56,1.73,60,"Bodega Bay"
2021-05-06 10:30:00,26,1.57,30,"Bodega Bay"
2021-05-06 11:00:00,56,1.74,60,"Bodega Bay"
2021-05-06 11:30:00,26,1.81,30,"Bodega Bay"
2021-05-06 12:00:00,56,1.69,60,"Bodega Bay"
2021-05-06 12:30:00,26,1.68,30,"Bodega Bay"
2021-05-06 13:00:00,56,1.63,60,"Bodega Bay"
2021-05-06 13:30:00,26,1.56,30,"Bodega Bay"
2021-05-06 14:00:00,56,1.65,60,"Bodega Bay"
2021-05-06 14:30:00,26,1.59,30,"Bodega Bay"
2021-05-06 15:00:00,56,1.63,60,"Bodega Bay"
2021-05-06 15:30:00,26,1.67,30,"Bodega Bay"
2021-05-06 16:00:00,56,1.55,60,"Bodega Bay"
2021-05-06 16:30:00,26,1.6,30,"Bodega Bay"
2021-05-06 17:00:00,56,1.66,60,"Bodega Bay"
2021-05-06 17:30:00,26,1.62,30,"Bodega Bay"
2021-05-06 18:00:00,56,1.65,60,"Bodega Bay"
2021-05-06 18:30:00,26,1.59,30,"Bodega Bay"
2021-05-06 19:00:00,56,1.53,60,"Bodega Bay"
2021-05-06 19:30:00,26,1.55,30,"Bodega Bay"
2021-05-06 20:00:00,56,1.56,60,"Bodega Bay"
2021-05-06 20:30:00,26,1.48,30,"Bodega Bay"
2021-05-06 21:00:00,56,1.39,60,"Bodega Bay"
2021-05-06 21:30:00,26,1.53,30,"Bodega Bay"
2021-05-06 22:00:00,56,1.46,60,"Bodega Bay"
2021-05-06 22:30:00,26,1.55,30,"Bodega Bay"
2021-05-06 23:00:00,56,1.51,60,"Bodega Bay"
2021-05-06 23:30:00,26,1.42,30,"Bodega Bay"
2021-05-07 00:00:00,56,1.41,60,"Bodega Bay"
2021-05-07 00:30:00,26,1.51,30,"Bodega Bay"
2021-05-07 01:00:00,56,1.82,60,"Bodega Bay"
2021-05-07 01:30:00,26,1.59,30,"Bodega Bay"
2021-05-07 02:00:00,56,1.57,60,"Bodega Bay"
2021-05-07 02:30:00,26,1.76,30,"Bodega Bay"
2021-05-07 03:00:00,56,1.86,60,"Bodega Bay"
2021-05-07 03:30:00,26,1.84,30,"Bodega Bay"
2021-05-07 04:00:00,56,1.83,60,"Bodega Bay"
2021-05-07 04:30:00,26,2.03,30,"Bodega Bay"
2021-05-07 05:00:00,56,1.96,60,"Bodega Bay"
2021-05-07 05:30:00,26,2.17,30,"Bodega Bay"
2021-05-07 06:00:00,56,2.23,60,"Bodega Bay"
2021-05-07 06:30:00,26,2.51,30,"Bodega Bay"
2021-05-07 07:00:00,56,2.45,60,"Bodega Bay"
2021-05-07 07:30:00,26,2.46,30,"Bodega Bay"
2021-05-07 08:00:00,56,2.51,60,"Bodega Bay"
2021-05-07 08:30:00,26,2.76,30,"Bodega Bay"
2021-05-07 09:00:00,56,3.05,60,"Bodega Bay"
2021-05-07 09:30:00,26,3.01,30,"Bodega Bay"
2021-05-07 10:00:00,56,3.37,60,"Bodega Bay"
2021-05-07 10:30:00,26,3.39,30,"Bodega Bay"
2021-05-07 11:00:00,56,3.69,60,"Bodega Bay"
2021-05-07 11:30:00,26,3.81,30,"Bodega Bay"
2021-05-07 12:00:00,56,4.35,60,"Bodega Bay"
2021-05-07 12:30:00,26,3.74,30,"Bodega Bay"
2021-05-07 13:00:00,56,4.49,60,"Bodega Bay"
2021-05-07 13:30:00,26,3.95,30,"Bodega Bay"
2021-05-07 14:00:00,56,4.28,60,"Bodega Bay"
2021-05-07 14:30:00,26,4.33,30,"Bodega Bay"
2021-05-07 15:00:00,56,4.06,60,"Bodega Bay"
2021-05-07 15:30:00,26,3.89,30,"Bodega Bay"
2021-05-07 16:00:00,56,3.96,60,"Bodega Bay"
2021-05-07 16:30:00,26,4.03,30,"Bodega Bay"
2021-05-07 17:00:00,56,4.2,60,"Bodega Bay"
2021-05-07 17:30:00,26,4.07,30,"Bodega Bay"
2021-05-07 18:00:00,56,3.87,60,"Bodega Bay"
2021-05-07 18:30:00,26,4.09,30,"Bodega Bay"
2021-05-07 19:00:00,56,4.33,60,"Bodega Bay"
2021-05-07 19:30:00,26,4.26,30,"Bodega Bay"
2021-05-07 20:00:00,56,4.35,60,"Bodega Bay"
2021-05-07 20:30:00,26,3.99,30,"Bodega Bay"
2021-05-07 21:00:00,56,4.31,60,"Bodega Bay"
2021-05-07 21:30:00,26,3.98,30,"Bodega Bay"
2021-05-07 22:00:00,56,4.13,60,"Bodega Bay"
2021-05-07 22:30:00,26,4.46,30,"Bodega Bay"
2021-05-07 23:00:00,56,4.62,60,"Bodega Bay"
2021-05-07 23:30:00,26,5.2,30,"Bodega Bay"
2021-05-08 00:00:00,56,4.31,60,"Bodega Bay"
2021-05-08 00:30:00,26,4.39,30,"Bodega Bay"
2021-05-08 01:00:00,56,4.49,60,"Bodega Bay"
2021-05-08 01:30:00,26,5.1,30,"Bodega Bay"
2021-05-08 02:00:00,56,5.06,60,"Bodega Bay"
2021-05-08 02:30:00,26,5.3,30,"Bodega Bay"
2021-05-08 03:00:00,56,5.78,60,"Bodega Bay"
2021-05-08 03:30:00,26,5.23,30,"Bodega Bay"
2021-05-08 04:00:00,56,5.24,60,"Bodega Bay"
2021-05-08 04:30:00,26,5.07,30,"Bodega Bay"
2021-05-08 05:00:00,56,5.39,60,"Bodega Bay"
2021-05-08 05:30:00,26,4.68,30,"Bodega Bay"
2021-05-08 06:00:00,56,5.16,60,"Bodega Bay"
2021-05-08 06:30:00,26,5.95,30,"Bodega Bay"
2021-05-08 07:00:00,56,5.28,60,"Bodega Bay"
2021-05-08 07:30:00,26,5.13,30,"Bodega Bay"
2021-05-08 08:00:00,56,4.58,60,"Bodega Bay"
2021-05-08 08:30:00,26,4.89,30,"Bodega Bay"
2021-05-08 09:00:00,56,5.14,60,"Bodega Bay"
2021-05-08 09:30:00,26,4.85,30,"Bodega Bay"
2021-05-08 10:00:00,56,4.7,60,"Bodega Bay"
2021-05-08 10:30:00,26,4.58,30,"Bodega Bay"
2021-05-08 11:00:00,56,4.44,60,"Bodega Bay"
2021-05-08 11:30:00,26,5.08,30,"Bodega Bay"
