intertidal_sitename,SampleSeason,SamplingSeasonCode,Survey Year,Survey Month,Survey Day,TargetSpecies,PlotID,species,count
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,acanthinucella spp,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,hermit crabs,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,nucella canaliculata,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,ocenebra circumtexta,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,pagurus hirsutiusculus,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,pagurus samuelis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,tegula funebralis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,1,nucella emarginata/ostrina,4
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,hermit crabs,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,nucella canaliculata,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,ocenebra circumtexta,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,pagurus hirsutiusculus,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,pagurus samuelis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,tegula funebralis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,acanthinucella spp,1
Alegria,79,FA00,2000,11,12,chthamalus/balanus,2,nucella emarginata/ostrina,1
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,acanthinucella spp,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,hermit crabs,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,nucella canaliculata,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,ocenebra circumtexta,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,pagurus hirsutiusculus,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,pagurus samuelis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,tegula funebralis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,3,nucella emarginata/ostrina,3
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,acanthinucella spp,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,hermit crabs,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,nucella canaliculata,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,nucella emarginata/ostrina,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,ocenebra circumtexta,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,pagurus hirsutiusculus,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,pagurus samuelis,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,4,tegula funebralis,1
Alegria,79,FA00,2000,11,12,chthamalus/balanus,5,acanthinucella spp,0
Alegria,79,FA00,2000,11,12,chthamalus/balanus,5,hermit crabs,0
