intertidal_sitename,site_code,survey_rep,year,month,day,section,transect,location,radius_mm,disease_category,final_classification,count
Bodega,14,1,2001,7,8,1,0,8.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,0,9,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,0,10,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,0,13.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,0,16.5,NM,NA,pisaster ochraceus,10
Bodega,14,1,2001,7,8,1,0,17,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,0,17.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,0,18,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,1,0,18.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,0,19,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,0,19.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,3,14,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,3,14.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,3,15,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,1,3,15.5,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,1,3,18.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,3,19.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,3,20,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,3,21,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,3,21.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,6,11,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,6,12,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,6,17.5,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,1,6,18,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,1,6,18.5,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,1,6,19,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,1,6,19.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,6,21.5,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,1,6,22,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,6,22.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,6,23,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,9,13.5,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,1,9,18,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,9,19.5,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,1,9,20,NM,NA,pisaster ochraceus,7
Bodega,14,1,2001,7,8,1,9,20.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,9,21,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,9,21.5,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,1,9,22.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,9,23,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,9,23.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,9,24,NM,NA,pisaster ochraceus,6
Bodega,14,1,2001,7,8,1,9,24.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,12,5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,12,5.5,NM,NA,pisaster ochraceus,5
Bodega,14,1,2001,7,8,1,12,16,NM,NA,pisaster ochraceus,16
Bodega,14,1,2001,7,8,1,12,16.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,12,17,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,12,18,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,12,19.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,12,22.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,12,23,NM,NA,pisaster ochraceus,14
Bodega,14,1,2001,7,8,1,12,23.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,12,24,NM,NA,pisaster ochraceus,8
Bodega,14,1,2001,7,8,1,12,24.5,NM,NA,pisaster ochraceus,3
Bodega,14,1,2001,7,8,1,12,26,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,12,26.5,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,14,6.5,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,14,7,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,14,12,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,14,16,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,1,14,16.5,NM,NA,pisaster ochraceus,4
Bodega,14,1,2001,7,8,1,14,17,NM,NA,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,14,19,NM,NA,pisaster ochraceus,2
Bodega,14,1,2001,7,8,1,14,21.5,NM,NA,pisaster ochraceus,1
