intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species,total_count,number_of_quadrats_sampled,total_area_sampled_m2,density_per_m2
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Acanthinucella spp,105,33,8.25,12.72727273
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Alia spp,1,33,8.25,0.121212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Amphissa columbiana,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Amphissa versicolor,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Californiconus californicus,4,33,8.25,0.484848485
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Cancer antennarius,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Ceratostoma nuttalli,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Crepipatella lingulata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Epitonium tinctum,43,33,8.25,5.212121212
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Hemigrapsus nudus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Homalopoma spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Kelletia kelletii,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Lacuna spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Leptasterias spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Lirularia/Margarites spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Littorina spp.,6342,33,8.25,768.7272727
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Littorina spp.,6342,33,8.25,768.7272727
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Littorina spp.,6342,33,8.25,768.7272727
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Macron lividus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Megastraea undosa,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Mexacanthina lugubris,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Nucella canaliculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Nucella emarginata/ostrina,44,33,8.25,5.333333333
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Ocenebra circumtexta,6,33,8.25,0.727272727
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Oedignathus inermis,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Olivella biplicata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Opalia funiculata,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pachycheles spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pachygrapsus crassipes,109,33,8.25,13.21212121
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pagurus granosimanus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pagurus hirsutiusculus,23,33,8.25,2.787878788
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pagurus samuelis,8,33,8.25,0.96969697
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Petrolisthes spp,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pisaster ochraceus,0,33,8.25,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pugettia gracilis/richii,1,33,8.25,0.121212121
