intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species,total_count,number_of_transects_sampled,est_swath_area_searched_m2,density_per_m2
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pisaster giganteus,1,11,817.32,0.001223511
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pisaster ochraceus,20,11,817.32,0.02447022
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pisaster giganteus,0,11,836.62,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pisaster ochraceus,58,11,836.62,0.069326576
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pisaster giganteus,1,11,829.3,0.001205836
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pisaster ochraceus,63,11,829.3,0.075967684
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pisaster giganteus,0,11,718.66,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pisaster ochraceus,23,11,718.66,0.032004007
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4.1,2015,Pisaster giganteus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4.1,2015,Pisaster ochraceus,2,21,1233.5,0.001621403
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4.2,2015,Pisaster giganteus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4.2,2015,Pisaster ochraceus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,5,2015,Pisaster giganteus,0,21,1155,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,5,2015,Pisaster ochraceus,3,21,1155,0.002597403
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,5.1,2015,Pisaster giganteus,0,21,1155,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,5.1,2015,Pisaster ochraceus,0,21,1155,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Pisaster giganteus,0,11,774,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Pisaster ochraceus,1,11,774,0.00129199
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,7,2016,Pisaster giganteus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,7,2016,Pisaster ochraceus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,8,2016,Pisaster giganteus,0,21,1164,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,8,2016,Pisaster ochraceus,1,21,1164,0.000859107
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,9,2017,Pisaster giganteus,0,21,1234,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,9,2017,Pisaster ochraceus,7,21,1234,0.005672609
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,10,2018,Pisaster giganteus,0,21,1236.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,10,2018,Pisaster ochraceus,2,21,1236.5,0.001617469
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,11,2019,Pisaster giganteus,0,21,1245,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,11,2019,Pisaster ochraceus,7,21,1245,0.00562249
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,12,2019,Pisaster giganteus,0,21,1245,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,12,2019,Pisaster ochraceus,2,21,1245,0.001606426
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,13,2020,Pisaster giganteus,0,21,1245,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,13,2020,Pisaster ochraceus,13,21,1245,0.010441767
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,14,2020,Pisaster giganteus,0,11,856,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,14,2020,Pisaster ochraceus,11,11,856,0.012850467
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,1,2001,Leptasterias spp,0,11,702.8,0
Bodega,38.31819355,-123.0736465,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Bodega Head SMR,SMR,,Bodega Marine Life Refuge ASBS,14,1,2001,Patiria miniata,0,11,702.8,0
