Location,Date,Tide zone,Surveyor,Quadrat order,Transect,Transect length,Total length (m),%,Sampled length (m),Side,Tegula funebralis,Nucella ostrina/emarginata,Nucella canaliculata,Mexacanthina,Acanthinucella,Nucella sp.,Pachygraspus,Cancer sp.,Pisaster,Leptasterias,Comments,Other comments
Alegria,3/25/21,High,AR,1,3,,,,14,,1,,,,,1,2,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,2,9,,,,6,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,3,11,,,,15,,0,,,,,0,1,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,4,10,,,,11,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,5,5,,,,3,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,6,4,,,,14,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,11,8,,,,11,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,10,7,,,,1,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,8,2,,,,10,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,9,6,,,,7,,0,,,,,0,1,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,High,AR,7,1,,,,9,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,12,2,,,,4,,0,,,,,3,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,13,5,,,,3,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,14,6,,,,1,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,15,10,,,,6,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,16,8,,,,3,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,18,7,,,,8,,1,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,19,11,,,,2,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,17,9,,,,13,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,20,1,,,,4,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,21,3,,,,10,,0,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Alegria,3/25/21,Mid,AR,22,4,,,,4,,2,,,,,0,0,0,0,,"don't trust these data - lots of littorines,nucella misidentified","1 acanthinucella, 1 otter, 1 octopus on swath"
Lompoc Landing,3/27/21,High,AR,1,5,12,11.7,100,11,,0,,,,,0,3,0,0,,possibly 4 nucella,
Lompoc Landing,3/27/21,High,AR,2,8,21,11,22,2,,0,,,,,0,0,0,0,,,
Lompoc Landing,3/27/21,High,JC,3,2,3,10.8,18,2,,,,,,,,,,,,,
